Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A
0.068, -1.093e-4, 1.193e-5
0.067, -1.132e-4, 1.194e-5
0.066, -1.100e-4, 1.195e-5
0.065, -1.136e-4, 1.196e-5
0.064, -1.094e-4, 1.195e-5
0.063, -1.138e-4, 1.196e-5
0.062, -1.106e-4, 1.197e-5
0.061, -1.150e-4, 1.199e-5
0.060, -1.117e-4, 1.198e-5
0.059, -1.155e-4, 1.198e-5
0.058, -1.127e-4, 1.199e-5
0.057, -1.170e-4, 1.199e-5
0.056, -1.137e-4, 1.198e-5
0.055, -1.179e-4, 1.199e-5
0.054, -1.144e-4, 1.198e-5
0.053, -1.181e-4, 1.199e-5
0.052, -1.149e-4, 1.199e-5
0.051, -1.181e-4, 1.200e-5
0.050, -1.149e-4, 1.199e-5
0.049, -1.187e-4, 1.201e-5
0.048, -1.155e-4, 1.200e-5
0.047, -1.190e-4, 1.202e-5
0.046, -1.157e-4, 1.201e-5
0.045, -1.192e-4, 1.203e-5
0.044, -1.165e-4, 1.203e-5
0.043, -1.197e-4, 1.205e-5
0.042, -1.174e-4, 1.203e-5
0.041, -1.215e-4, 1.205e-5
0.040, -1.190e-4, 1.203e-5
0.039, -1.224e-4, 1.205e-5
0.038, -1.196e-4, 1.204e-5
0.037, -1.228e-4, 1.206e-5
0.036, -1.202e-4, 1.205e-5
